State,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,3.1,3,2.9,,,,,,,,,
Alaska,5.6,5.4,5,,,,,,,,,
Arizona,3.7,3.6,3.3,,,,,,,,,
Arkansas,3.2,3.1,3.1,,,,,,,,,
California,5.8,5.4,4.9,,,,,,,,,
Colorado,4.1,4,3.7,,,,,,,,,
Connecticut,5.3,4.9,4.6,,,,,,,,,
Delaware,4.8,4.6,4.5,,,,,,,,,
District of Columbia,6.3,6.1,6,,,,,,,,,
Florida,3.5,3.3,3.2,,,,,,,,,
Georgia,3.2,3.2,3.1,,,,,,,,,
Hawaii,4.4,4.3,4.1,,,,,,,,,
Idaho,3,2.8,2.7,,,,,,,,,
Illinois,5,4.8,4.7,,,,,,,,,
Indiana,2.4,2.3,2.2,,,,,,,,,
Iowa,3.7,3.5,3.3,,,,,,,,,
Kansas,2.6,2.5,2.5,,,,,,,,,
Kentucky,4.4,4.2,4,,,,,,,,,
Louisiana,4.3,4.3,4.2,,,,,,,,,
Maine,4.1,4,3.6,,,,,,,,,
Maryland,5.4,5,4.6,,,,,,,,,
Massachusetts,4.8,4.7,4.2,,,,,,,,,
Michigan,4.9,4.7,4.4,,,,,,,,,
Minnesota,2.9,2.7,2.5,,,,,,,,,
Mississippi,4.6,4.5,4.2,,,,,,,,,
Missouri,3.8,3.7,3.6,,,,,,,,,
Montana,2.7,2.6,2.3,,,,,,,,,
Nebraska,2.2,2.1,2,,,,,,,,,
Nevada,5.2,5.1,5,,,,,,,,,
New Hampshire,2.9,2.7,2.5,,,,,,,,,
New Jersey,5.2,4.6,4.2,,,,,,,,,
New Mexico,5.9,5.6,5.3,,,,,,,,,
New York,5.3,4.9,4.6,,,,,,,,,
North Carolina,3.9,3.7,3.5,,,,,,,,,
North Dakota,3.1,2.9,2.9,,,,,,,,,
Ohio,4.3,4.2,4.1,,,,,,,,,
Oklahoma,2.7,2.6,2.7,,,,,,,,,
Oregon,4.3,4,3.8,,,,,,,,,
Pennsylvania,5.4,5.1,4.9,,,,,,,,,
Rhode Island,4.2,3.9,3.4,,,,,,,,,
South Carolina,3.5,3.5,3.4,,,,,,,,,
South Dakota,2.8,2.6,2.5,,,,,,,,,
Tennessee,3.5,3.4,3.2,,,,,,,,,
Texas,4.8,4.7,4.4,,,,,,,,,
Utah,2.2,2.1,2,,,,,,,,,
Vermont,3,2.9,2.7,,,,,,,,,
Virginia,3.3,3.2,3,,,,,,,,,
Washington,4.4,4.3,4.2,,,,,,,,,
West Virginia,4.1,3.9,3.7,,,,,,,,,
Wisconsin,3,2.9,2.8,,,,,,,,,
Wyoming,3.8,3.7,3.4,,,,,,,,,
